Gene.refGene	Mim Number	Phenotypes
AD7CNTP	607413	
ALPQTL2	612367	{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)
ANON1	606788	{Anorexia nervosa, susceptibility to, 1}, 606788 (2)
BCC1	605462	{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)
BMND3	606928	[Bone mineral density QTL 3], 606928 (2)
CMM	155600	{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant
CCV	115665	Cataract 8, multiple types, 115665 (2), Autosomal dominant
DEL1p36, C1DELp36	607872	Chromosome 1p36 deletion syndrome, 607872 (4), Isolated cases
DYX8	608995	{Dyslexia, susceptibility to, 8}, 608995 (2), Autosomal dominant, Multifactorial
ERPL1, HLM2	131190	
IBD7	605225	{Inflammatory bowel disease 7}, 605225 (2)
MS4	612596	{Multiple sclerosis, susceptibility to, 4}, 612596 (2)
MYP14	610320	Myopia 14, 610320 (2)
PSORS7	605606	{Psoriasis susceptibility 7}, 605606 (2)
PTPRZ2	604008	
SAI1	154280	
SCASI	607317	Spinocerebellar ataxia, autosomal recessive 4, 607317 (2), Autosomal recessive
SAMD11	616765	
NOC2L	610770	
PERM1	615921	
HES4	608060	
ISG15	147571	Immunodeficiency 38, 616126 (3), Autosomal recessive
AGRN	103320	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive
MIR200B	612091	
MIR200A	612090	
MIR429	612094	
TNFRSF18	603905	
TNFRSF4	600315	?Immunodeficiency 16, 615593 (3)
SDF4	614282	
B3GALT6	615291	"Ehlers-Danlos syndrome, progeroid type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive"
FAM132A	616593	
SCNN1D	601328	
CPSF3L	611354	
CPTP	615467	
TAS1R3	605865	
DVL1	601365	Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant
AURKAIP1	609183	
CCNL2	613482	
MRPL20	611833	
VWA1	611901	
ATAD3B	612317	
ATAD3A	612316	
TMEM240	616101	Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant
MIB2	611141	
MMP23B	603321	
CDK11B	176873	
MMP23A	603320	
CDK11A	116951	
NADK	611616	
GNB1	139380	"Leukemia, acute lymphoblastic, somatic, 613065 (3); Mental retardation, autosomal dominant 42, 616973 (3)"
CALML6	610171	
GABRD	137163	"{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant"
PRKCZ	176982	
FAAP20	615183	
SKI	164780	Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant
DYT13	607671	Dystonia 13, torsion, 607671 (2), Autosomal dominant
KONDS	606242	Kondoh syndrome, 606242 (2), Autosomal recessive
PEX10	602859	"Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3); Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive"
PLCH2	612836	
PANK4	606162	
HES5	607348	
TNFRSF14	602746	
ACTRT2	608535	
PRDM16	605557	"Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant; Left ventricular noncompaction 8, 615373 (3), Autosomal dominant"
MEGF6	604266	
MIR551A	615148	
TPRG1L	611460	
WRAP73	606040	
TP73	601990	?Neuroblastoma (1)
SMIM1	615242	[Blood group, Vel system], 615264 (3), Autosomal recessive
CEP104	616690	Joubert syndrome 25, 616781 (3), Autosomal recessive
DFFB	601883	
AJAP1	610972	
DFNB96	614414	Deafness, autosomal recessive 96, 614414 (2), Autosomal recessive
NPHP4	607215	"Nephronophthisis 4, 606966 (3), Autosomal recessive; Senior-Loken syndrome 4, 606996 (3), Autosomal recessive"
KCNAB2	601142	
CHD5	610771	
RPL22	180474	
RNF207	616923	
ICMT	605851	
HES3	609971	
GPR153	614269	
ACOT7	602587	
HES2	609970	
ESPN	606351	"Deafness, autosomal recessive 36, 609006 (3); Deafness, neurosensory, without vestibular involvement, autosomal dominant (3)"
TNFRSF25	603366	
PLEKHG5	611101	"Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive; Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive"
TAS1R1	606225	
ZBTB48	165270	
KLHL21	616262	
THAP3	612532	
DNAJC11	614827	
CAMTA1	611501	Cerebellar ataxia, nonprogressive, with mental retardation, 614756 (3), Autosomal dominant
GLC3B	600975	Glaucoma 3, primary infantile, B, 600975 (2), Autosomal recessive
SCZD12	608543	{Schizophrenia 12}, 181500 (2), Autosomal dominant
VAMP3	603657	
PER3	603427	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant
UTS2	604097	
TNFRSF9	602250	
PARK7	602533	Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive
ERRFI1	608069	
SLC45A1	605763	
RERE	605226	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3)
ENO1	172430	Enolase deficiency (1)
CA6	114780	
SLC2A7	610371	
SLC2A5	138230	
MIR34A	611172	
H6PD	138090	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive
SPSB1	611657	
SLC25A33	610816	
