Maladie	Gene	Inheritance
LGMD	CAV3	AD
LGMD	CAPN3	AR
LGMD	DYSF	AR
LGMD	SGCG	AR
LGMD	SGCA	AR
LGMD	FKRP	AR
LGMD	ANO5	AR
LGMD	MYOT	AD
LGMD	LMNA	AD
LGMD	DNAJB6	AD
LGMD	DES	AR/AD
LGMD	TNPO3	AD
LGMD	HNRNPDL	AD
LGMD	SGCB	AR
LGMD	SGCD	AR
LGMD	TCAP	AR
LGMD	TRIM32	AR
LGMD	TTN	AR
LGMD	POMT1	AR
LGMD	FKTN	AR
LGMD	POMT2	AR
LGMD	POMGnT1	AR
LGMD	PLEC	AR
LGMD	TRAPPC11	AR
LGMD	GMPPB	AR
LGMD	ISPD	AR
LGMD	GAA	AR
LGMD	LIMS2	AR
LGMD	DAG1	AR
LGMD	LAMA2	AR
LGMD	FHL1	AR
LGMD	COL6A1	AR/AD
LGMD	COL6A2	AR/AD
LGMD	COL6A3	AR/AD
LGMD	GNE	AR
LGMD	VCP	AD
MC	ACTA1	AR/AD
MC	TPM2	AD
MC	TPM3	AD
MC	TNNT1	AR
MC	NEB	AR
MC	KBTBD13	AD
MC	KLHL40	AR
MC	KLHL41	AR
MC	LMOD3	AR
MC	CFL2	AR
MC	MYO18B	AD
MC	RYR1	AR/AD
MC	STAC3	AR
MC	ACTA1	AD
MC	TPM2	AD
MC	TPM3	AD
MC	SEPN1	AR
MC	MYH7	AD
MC	MTM1	X
MC	DNM2	AD
MC	BIN1	AD(lateonset)AR
MC	TTN	AR
MC	KBTBD13	AD
MC	SPEG	AR
MC	MEGF10	AR
MC	MYH2	AD
MC	CACNA1S	AR
MC	PTPLA	AR
MC	TRIM32	AR
MC	CNTN1	AR
MC	MYBPC3	AR
MC	CCDC78	AR
MC	CASQ1	AR
MC	STIM1	AD
MC	ORAI1	AD
MYAS	CHRNE	AR(type4Band4C)/AD(type4A)
MYAS	RAPSN	AR
MYAS	DOK7	AR
MYAS	COLQ	AR
MYAS	CHAT	AR
MYAS	CHRNA1	AR(type1Band1C)/AD(type1A)
MYAS	CHRNB1	AR(type2Band2C)/AD(type2A)
MYAS	CHRND	AR(type3Band3C)/AD(type3A)
MYAS	GFPT1	AR
MYAS	AGRN	AR
MYAS	ALG14	AR
MYAS	ALG2	AR
MYAS	BIN1	AD(lateonset)AR
MYAS	COL13A1	AR
MYAS	DNM2	AD
MYAS	DPAGT1	AR
MYAS	GMPPB	AR
MYAS	LAMB2	AR
MYAS	LRP4	AR
MYAS	MTM1	X
MYAS	MUSK	AR
MYAS	MYO9A	AR
MYAS	PLEC	AR
MYAS	PREPL	AR
MYAS	RYR1	AR
MYAS	SCN4A	AR
